State,vibxaccg,vibyaccg,chasiaccg
Normal,-0.015259255,-0.247199927,-0.027466659
Normal,0.088503677,-0.076296274,-0.015259255
Normal,0.210577715,0.03357036,0.100711081
Normal,0.210577715,-0.021362957,0.088503677
Normal,0.180059206,-0.06408887,0.076296274
Normal,0.1617481,-0.045777764,0.106814783
Normal,0.125125889,-0.149540696,0.119022187
Normal,0.057985168,-0.296029542,0.112918485
Normal,0.009155553,-0.405896194,0.045777764
Normal,-0.039674062,-0.399792492,-0.03357036
Normal,0.027466659,-0.003051851,-0.076296274
Normal,0.057985168,0.338755473,-0.045777764
Normal,0.06408887,0.228888821,-0.051881466
Normal,0.06408887,0.003051851,-0.167851802
Normal,0.039674062,0.149540696,-0.210577715
Normal,0.057985168,0.119022187,-0.216681417
Normal,0.106814783,-0.302133244,-0.076296274
Normal,0.149540696,-0.686666444,-0.186162908
Normal,0.03357036,-0.387585089,-0.131229591
Normal,-0.149540696,-0.051881466,-0.167851802
Normal,-0.19226661,0.283822138,-0.112918485
Normal,-0.100711081,0.375377685,-0.082399976
Normal,0.06408887,0.173955504,-0.088503677
Normal,0.094607379,-0.06408887,-0.045777764
Normal,0.003051851,-0.393688791,-0.027466659
Normal,-0.03357036,-0.637836829,-0.03357036
Normal,-0.06408887,-0.405896194,-0.051881466
Normal,-0.125125889,0.009155553,-0.155644398
Normal,-0.149540696,0.332651772,-0.119022187
Normal,0.051881466,0.4242073,-0.015259255
Normal,0.155644398,0.350962877,-0.039674062
Normal,0.210577715,0.411999896,0.039674062
Normal,0.143436994,0.491348021,0.051881466
Normal,0.088503677,0.668355376,0.088503677
Normal,-0.027466659,0.589007251,0.180059206
Normal,-0.125125889,0.186162908,0.357066579
Normal,-0.051881466,-0.454725809,0.271614734
Normal,0.045777764,-0.741599798,0.302133244
Normal,0.082399976,-0.473036915,0.222785119
Normal,-0.021362957,-0.057985168,0.25940733
Normal,-0.216681417,0.234992523,0.112918485
Normal,-0.210577715,0.204474013,0.009155553
Normal,-0.106814783,0.125125889,0.076296274
Normal,0.009155553,-0.076296274,0.222785119
Normal,0.186162908,-0.210577715,0.247199927
Normal,0.204474013,-0.180059206,0.057985168
Normal,0.112918485,0.027466659,-0.015259255
Normal,-0.009155553,0.350962877,0.057985168
Normal,-0.06408887,0.302133244,0.222785119
Normal,0.003051851,-0.167851802,0.198370311
Normal,0.057985168,-0.454725809,0.021362957
Normal,0.100711081,-0.057985168,-0.106814783
Normal,0.076296274,0.52186653,0.003051851
Normal,0.015259255,0.302133244,0.03357036
Normal,-0.03357036,-0.070192572,-0.015259255
Normal,0.051881466,-0.082399976,-0.027466659
Normal,0.1617481,-0.082399976,-0.070192572
Normal,0.155644398,-0.167851802,-0.06408887
Normal,0.027466659,-0.411999896,-0.100711081
Normal,0.070192572,-0.540177636,-0.051881466
Normal,0.149540696,-0.399792492,-0.167851802
Normal,-0.039674062,-0.1617481,-0.265511032
Normal,-0.03357036,0.051881466,-0.228888821
Normal,-0.167851802,0.186162908,-0.271614734
Normal,-0.1617481,0.350962877,-0.308236945
Normal,-0.076296274,0.436414704,-0.216681417
Normal,-0.119022187,0.320444368,-0.119022187
Normal,-0.137333293,-0.125125889,-0.06408887
Normal,-0.173955504,-0.466933213,-0.070192572
Normal,-0.119022187,-0.460829511,-0.082399976
Normal,-0.039674062,-0.204474013,-0.03357036
Normal,0.070192572,-0.027466659,0.021362957
Normal,0.088503677,-0.06408887,0.106814783
Normal,0.210577715,-0.027466659,0.112918485
Normal,0.302133244,0.332651772,0.125125889
Normal,0.204474013,0.540177636,0.137333293
Normal,0.057985168,0.411999896,0.131229591
Normal,0.021362957,0.057985168,0.119022187
Normal,0.039674062,-0.057985168,0.094607379
Normal,-0.03357036,0.057985168,0.149540696
Normal,-0.06408887,0.057985168,0.198370311
Normal,-0.137333293,-0.1617481,0.137333293
Normal,-0.045777764,-0.210577715,0.100711081
Normal,0.003051851,-0.057985168,0.051881466
Normal,-0.015259255,0.051881466,0.100711081
Normal,-0.039674062,-0.106814783,0.155644398
Normal,-0.027466659,-0.320444368,0.173955504
